# LOTR Conquest Custom Audio Event List
# Generated: 2026-01-22 15:17:10
# Total Events: 2782
#
# To customize an event, create an audio file in:
#   ConquestDir/ConquestMods/audio/{EventName}.wav (or .mp3, .ogg, .flac)
#
# Format: EventID | Bank | EventName
# ==============================================

0x002B4C8B | VO_Isengard | VO_Isengard-0090
0x01E39CDE | ChatterHobbit | ChatterHobbit-0650
0x01F48DFF | VO_Shire | play_vo_shr_obj5_remind4_destroyhomes
0x020D7DC9 | VoiceOver | VoiceOver-0291
0x022BBAA6 | Music | play_helms_deep
0x022E53C7 | VO_HelmsDeep | play_vo_hmd_obj08_complete_mount_v1
0x023BD927 | VO_MinasTir | play_vo_mst_obj02_remind_towers_v3
0x025E3340 | VO_Moria | VO_Moria-0438
0x026EFC98 | SFXTroll | troll_hit
0x029B7694 | ChatterRohan | ChatterRohan-0599
0x029B7695 | ChatterRohan | ChatterRohan-0601
0x029B7697 | ChatterRohan | ChatterRohan-0597
0x02DDF387 | Level_Moria | door_close_slab
0x0303AB36 | VO_Rivendell | play_vo_rvd_obj01_complete_maingate_v1
0x037AD720 | ChatterEvilHuman | ChatterEvilHuman-0524
0x037AD722 | ChatterEvilHuman | ChatterEvilHuman-0528
0x037AD723 | ChatterEvilHuman | ChatterEvilHuman-0526
0x03A54774 | ChatterHeroEowyn | ChatterHeroEowyn-0080
0x03B388B1 | ChatterHeroGothmog | ChatterHeroGothmog-0128
0x03B388B2 | ChatterHeroGothmog | ChatterHeroGothmog-0130
0x03B388B3 | ChatterHeroGothmog | ChatterHeroGothmog-0132
0x04232EB9 | VO_Weathertop | VO_Weathertop-0084
0x048F7520 | SFXBalrog | balrog_pickup_kill_03
0x048F7521 | SFXBalrog | balrog_pickup_kill_02
0x04D39240 | ChatterEvilHuman | ChatterEvilHuman-0554
0x04D39242 | ChatterEvilHuman | ChatterEvilHuman-0558
0x04D39243 | ChatterEvilHuman | ChatterEvilHuman-0556
0x04D8F060 | VO_MinasMorg | VO_MinasMorg-0106
0x056ED493 | VO_Shire | VO_Shire-0169
0x059C5FB1 | ChatterHeroWitchKing | ChatterHeroWitchKing-0107
0x059C5FB2 | ChatterHeroWitchKing | ChatterHeroWitchKing-0109
0x059C5FB3 | ChatterHeroWitchKing | ChatterHeroWitchKing-0111
0x0606119D | VO_Isengard | play_vo_igd_obj05_update_key_v1
0x0606119E | VO_Isengard | play_vo_igd_obj05_update_key_v2
0x066649F4 | VO_Shire | play_vo_shr_obj3_remind2_killtreebeardrev
0x0670CA4E | Level_Weathertop | destroy_armory
0x068434F4 | VoiceOver | play_vo_chat_allliveslost_gondor1_v3
0x068434F5 | VoiceOver | play_vo_chat_allliveslost_gondor1_v2
0x068434F6 | VoiceOver | play_vo_chat_allliveslost_gondor1_v1
0x06BD4A4F | VO_MinasMorg | play_vo_mgl_obj06_complete_towers_v1
0x06FFF7DC | VoiceOver | play_vo_chat_allliveslost_orc1_v2
0x06FFF7DD | VoiceOver | play_vo_chat_allliveslost_orc1_v3
0x06FFF7DF | VoiceOver | play_vo_chat_allliveslost_orc1_v1
0x073DEAD9 | ChatterGondor | ChatterGondor-0483
0x073DEADA | ChatterGondor | ChatterGondor-0485
0x073DEADB | ChatterGondor | ChatterGondor-0487
0x0772A80C | VO_Trng | VO_Trng-0292
0x0793039F | Level_Osgiliath | Level_Osgiliath-0178
0x079C4FC3 | Level_MinasMorg | prison_window_mtl_break
0x081C93E8 | VO_Trng | VO_Trng-0282
0x084379E1 | BaseCombat | foley_jump
0x08580032 | VO_Shire | VO_Shire-0177
0x0862B749 | Level_Shire | shire_gandalf_intro
0x088A51B8 | VO_Isengard | play_vo_igd_obj04_complete_wormtongue_v1
0x08DCD80C | Creatures | bodyfall_generic
0x09151A2F | SFXEnt | ent_swing_medium
0x0923D608 | HeroAragorn | aragorn_army_charge
0x092AB4EC | ChatterHeroAragorn | ChatterHeroAragorn-0113
0x092AB4EE | ChatterHeroAragorn | ChatterHeroAragorn-0117
0x092AB4EF | ChatterHeroAragorn | ChatterHeroAragorn-0115
0x09386D72 | SFXOliphant | oli_fall_leg
0x094958ED | Music | play_minas_tirith_good
0x0990E3B2 | VO_Osgiliath | play_vo_osg_evil_obj06_new_faramir_v1
0x0A003F01 | VO_Trng | play_vo_trn_warriorthrow_remind_01
0x0A003F02 | VO_Trng | play_vo_trn_warriorthrow_remind_02
0x0A003F03 | VO_Trng | play_vo_trn_warriorthrow_remind_03
0x0A0384C0 | VO_Osgiliath | play_vo_osg_good_obj08_support_rangers_v1
0x0A3A77DB | VO_Moria | play_vo_mor_obj011_complete_caves_v1
0x0A40E38E | HeroLurtz | legolas_bow_charge
0x0ACC888D | VO_Rivendell | play_vo_rvd_obj06_complete_elrond_v1
0x0AEC3330 | VO_MinasTir | VO_MinasTir-0203
0x0AEC3333 | VO_MinasTir | VO_MinasTir-0201
0x0B46C5D0 | VO_Osgiliath | play_vo_osg_evil_obj03_remind_basilica_v1
0x0B46C5D2 | VO_Osgiliath | play_vo_osg_evil_obj03_remind_basilica_v3
0x0B46C5D3 | VO_Osgiliath | play_vo_osg_evil_obj03_remind_basilica_v2
0x0BB2E807 | Level_Rivendell | play_bell_toll
0x0BB65AFC | VO_Trng | VO_Trng-0168
0x0BCE05DC | ChatterElf | ChatterElf-0489
0x0BCE05DE | ChatterElf | ChatterElf-0493
0x0BCE05DF | ChatterElf | ChatterElf-0491
0x0C11CF30 | BaseCombat | stop_cloak
0x0C1963B1 | VO_HelmsDeep | play_vo_hmd_obj01_support_deepwall_v1
0x0C1963B2 | VO_HelmsDeep | play_vo_hmd_obj01_support_deepwall_v2
0x0C293F6F | BaseCombat | play_multishot_release
0x0C46CE3E | ChatterHeroElrond | ChatterHeroElrond-0061
0x0C61BFFF | VoiceOver | play_vo_dm_10killsleftevil_v1
0x0C7B69C5 | VO_Moria | play_vo_mor_obj12_secondsac_complete_alt
0x0C7D0CD3 | SFXTroll | troll_punch
0x0C8B7BCA | VO_MinasTir | vo_mstt_obj06_complete_tree_v1
0x0CCA70A9 | SFXCatapult | Effects-0813
0x0CE0EBBA | UI | ui_confirm
0x0CF8770C | Music | stop_moria_good
0x0D2B703D | VO_Trng | VO_Trng-0222
0x0D6674D4 | VO_MinasTir | play_vo_mst_obj01_update_2ndring_v1
0x0D78004D | VO_Weathertop | VO_Weathertop-0054
0x0DBE8047 | VO_Weathertop | VO_Weathertop-0088
0x0DE5E1B1 | ChatterHeroGandalf | ChatterHeroGandalf-0089
0x0DF51028 | VO_Weathertop | VO_Weathertop-0140
0x0E5F3425 | Level_Trng | amb_battle_lrg_a01
0x0E9518E6 | VO_Trng | play_vo_trn_magelightning_new_01
0x0EB7F0CB | VO_MinasTir | vo_mstt_obj07_complete_throne_v1
0x0EC56115 | Level_Moria | door_pound_low
0x0F297E4C | ChatterGondor | ChatterGondor-0569
0x0F297E4D | ChatterGondor | ChatterGondor-0571
0x0F297E4F | ChatterGondor | ChatterGondor-0567
0x0F73E257 | VO_Trng | play_vo_trn_rallyridge_new_01
0x0F7F46A4 | VoiceOver | play_vo_chat_lowlives_ringwraith_v1
0x0F7F46A6 | VoiceOver | play_vo_chat_lowlives_ringwraith_v3
0x0F7F46A7 | VoiceOver | play_vo_chat_lowlives_ringwraith_v2
0x0FB861E0 | ChatterEvilHuman | ChatterEvilHuman-0508
0x0FB861E1 | ChatterEvilHuman | ChatterEvilHuman-0510
0x0FB861E3 | ChatterEvilHuman | ChatterEvilHuman-0506
0x0FD4FC7D | SFXBallista | ballista_release
0x1067F7BF | Music | unpause_game
0x109B5E1E | Ambience | play_ambience
0x10C4D67A | HeroLegolas | play_legolas_shieldgrind_loop
0x114E02D4 | VO_Moria | play_vo_mor_obj7_delfirst_new
0x116777C6 | Level_MountDoom | Level_MountDoom-0203
0x11B7D189 | VO_Moria | play_vo_mor_obj00_misc_v7
0x11C892FA | ChatterHeroGimli | ChatterHeroGimli-0096
0x11C892FC | ChatterHeroGimli | ChatterHeroGimli-0092
0x11C892FD | ChatterHeroGimli | ChatterHeroGimli-0094
0x11C892FF | ChatterHeroGimli | ChatterHeroGimli-0090
0x11CFBA75 | VO_MinasTir | vo_mstt_obj05_complete_ram_v1
0x11F6B73D | Effects | Effects-0807
0x120427B6 | BaseCombat | BaseCombat-0781
0x121956CA | Level_Trng | walla_ext
0x12B7204D | ChatterHeroWormtongue | ChatterHeroWormtongue-0106
0x12B7204E | ChatterHeroWormtongue | ChatterHeroWormtongue-0108
0x12B7204F | ChatterHeroWormtongue | ChatterHeroWormtongue-0110
0x12E5B044 | ChatterHeroGandalf | ChatterHeroGandalf-0121
0x12E5B045 | ChatterHeroGandalf | ChatterHeroGandalf-0123
0x12E5B047 | ChatterHeroGandalf | ChatterHeroGandalf-0119
0x1300B1B0 | ChatterRohan | ChatterRohan-0585
0x1300B1B2 | ChatterRohan | ChatterRohan-0589
0x1300B1B3 | ChatterRohan | ChatterRohan-0587
0x130623B9 | VO_MinasMorg | play_vo_mgl_obj04_new_prison_v1
0x131EF776 | VO_Shire | play_vo_shr_obj3_remind4_killtreebeardrev
0x136B8905 | Level_Osgiliath | osg_gen_amb_st_lp
0x136E1048 | ChatterHobbit | ChatterHobbit-0712
0x136E1049 | ChatterHobbit | ChatterHobbit-0710
0x136E104A | ChatterHobbit | ChatterHobbit-0708
0x136E104F | ChatterHobbit | ChatterHobbit-0714
0x1382CFD1 | ChatterRohan | ChatterRohan-0445
0x1382CFD2 | ChatterRohan | ChatterRohan-0447
0x1382CFD3 | ChatterRohan | ChatterRohan-0449
0x138C2A74 | ChatterRohan | ChatterRohan-0481
0x138C2A76 | ChatterRohan | ChatterRohan-0485
0x138C2A77 | ChatterRohan | ChatterRohan-0483
0x13A542E4 | VO_Pelennor | VO_Pelennor-0096
0x13E680A1 | Level_Rivendell | Level_Rivendell-0140
0x148DC773 | ChatterHeroLurtz | ChatterHeroLurtz-0104
0x1490CF59 | ChatterHeroSaruman | ChatterHeroSaruman-0109
0x1490CF5A | ChatterHeroSaruman | ChatterHeroSaruman-0111
0x1490CF5B | ChatterHeroSaruman | ChatterHeroSaruman-0113
0x14AE67A0 | ChatterRohan | ChatterRohan-0593
0x14AE67A1 | ChatterRohan | ChatterRohan-0595
0x14AE67A3 | ChatterRohan | ChatterRohan-0591
0x14E64C98 | ChatterHeroFaramir | ChatterHeroFaramir-0094
0x14E64C99 | ChatterHeroFaramir | ChatterHeroFaramir-0092
0x14E64C9A | ChatterHeroFaramir | ChatterHeroFaramir-0090
0x15154260 | ChatterHeroEowyn | ChatterHeroEowyn-0100
0x15154265 | ChatterHeroEowyn | ChatterHeroEowyn-0094
0x15154266 | ChatterHeroEowyn | ChatterHeroEowyn-0096
0x15154267 | ChatterHeroEowyn | ChatterHeroEowyn-0098
0x151EE954 | VO_Moria | play_vo_mor_obj00_orcs_v1
0x153ECD91 | SFXEnt | ent_groundslam
0x153F1D2C | VO_Moria | play_vo_mor_evil_obj12_new_gimli_v1
0x1540CBAE | VO_MinasTir | play_vo_mst_obj01_remind_maingate_v3
0x154B8FE9 | ChatterHeroTheoden | ChatterHeroTheoden-0083
0x154B8FEA | ChatterHeroTheoden | ChatterHeroTheoden-0085
0x154B8FEB | ChatterHeroTheoden | ChatterHeroTheoden-0087
0x155652CB | VO_MountDoom | play_vo_dom_obj03_complete_sacrifice_v1_alt
0x155DBADD | VO_Moria | play_vo_mor_obj7_delfirst_remind
0x15611125 | VO_Rivendell | VO_Rivendell-0166
0x15611126 | VO_Rivendell | play_vo_rvd_obj07_remind_ring_v1
0x15C3403C | VO_Shire | VO_Shire-0069
0x15C7902D | ChatterOrc | ChatterOrc-0470
0x15C7902E | ChatterOrc | ChatterOrc-0472
0x15C7902F | ChatterOrc | ChatterOrc-0474
0x15DB3A9F | Level_Trng | trng_orc_charge_attack
0x15F8E9F2 | SFXWarg | warg_hit
0x16AAE451 | VO_BlackGates | play_vo_bkg_good_obj01_remind_v1
0x16AAE452 | VO_BlackGates | play_vo_bkg_good_obj01_remind_v2
0x16AAE453 | VO_BlackGates | play_vo_bkg_good_obj01_remind_v3
0x16AAE454 | VO_BlackGates | VO_BlackGates-0055
0x170B3F6F | VO_MinasTir | VO_MinasTir-0145
0x173A863E | VO_MountDoom | VO_MountDoom-0059
0x176746D1 | ChatterOrc | ChatterOrc-0440
0x176746D2 | ChatterOrc | ChatterOrc-0442
0x176746D3 | ChatterOrc | ChatterOrc-0444
0x1777E118 | VO_Trng | play_vo_trn_secondwave_new_v2
0x17A3F2AC | ChatterRohan | ChatterRohan-0571
0x17A3F2AD | ChatterRohan | ChatterRohan-0569
0x17A3F2AE | ChatterRohan | ChatterRohan-0567
0x17D6A95E | VO_Shire | VO_Shire-0155
0x17D6A95F | VO_Shire | VO_Shire-0157
0x17E7751B | Level_Rivendell | river_flow_lg_lp
0x182B97B8 | ChatterHeroWitchKing | ChatterHeroWitchKing-0137
0x182B97BD | ChatterHeroWitchKing | ChatterHeroWitchKing-0131
0x182B97BE | ChatterHeroWitchKing | ChatterHeroWitchKing-0133
0x182B97BF | ChatterHeroWitchKing | ChatterHeroWitchKing-0135
0x182ED1A5 | VO_Moria | play_vo_mor_obj4_killmage_remind2
0x182ED1A6 | VO_Moria | play_vo_mor_obj4_killmage_remind1
0x18359637 | Level_HelmsDeep | distant_amry_march_a01
0x188E3288 | VO_Shire | VO_Shire-0107
0x1893CC22 | ChatterHeroFaramir | ChatterHeroFaramir-0082
0x18959627 | VO_Shire | VO_Shire-0071
0x18ACD472 | VO_Osgiliath | play_vo_osg_evil_obj05_complete_escort_v1
0x18DB55CF | VoiceOver | VoiceOver-0257
0x18EECE0B | VO_Trng | play_vo_trn_sauron_complete_1
0x19059D9A | Level_Pelennor | play_amb_pl_loop
0x190AE8C7 | Music | stop_osg_good
0x190BD5EB | VO_HelmsDeep | play_vo_hmd_obj011_complete_breach_v1
0x191600C3 | VO_BlackGates | play_vo_bkg_good_obj02_new_v1
0x191D2B01 | VO_MountDoom | play_vo_dom_obj07_new_getring_v1
0x19E5BFC0 | VO_Osgiliath | play_vo_osg_good_obj02_remind_archerwave_v1
0x19F2CAF8 | ChatterUruk | ChatterUruk-0604
0x19F2CAFA | ChatterUruk | ChatterUruk-0608
0x19F2CAFB | ChatterUruk | ChatterUruk-0606
0x1A3A7D28 | VO_Trng | VO_Trng-0340
0x1A3A7D29 | VO_Trng | VO_Trng-0338
0x1A3A7D2A | VO_Trng | VO_Trng-0336
0x1A629AFA | ChatterGondor | ChatterGondor-0607
0x1AB25F20 | VO_MinasTir | play_vo_mst_obj02a_remind_rally_v1
0x1AB25F23 | VO_MinasTir | play_vo_mst_obj02a_remind_rally_v2
0x1B26E6C3 | ChatterHobbit | ChatterHobbit-0548
0x1B26E6C4 | ChatterHobbit | ChatterHobbit-0546
0x1B26E6C5 | ChatterHobbit | ChatterHobbit-0544
0x1B26E6C6 | ChatterHobbit | ChatterHobbit-0542
0x1B31C591 | VO_Weathertop | VO_Weathertop-0120
0x1B333D05 | Effects | footstep_land
0x1B3716F8 | ChatterHobbit | ChatterHobbit-0686
0x1B3716F9 | ChatterHobbit | ChatterHobbit-0688
0x1B3716FB | ChatterHobbit | ChatterHobbit-0684
0x1B3716FE | ChatterHobbit | ChatterHobbit-0690
0x1B640BD5 | ChatterRohan | ChatterRohan-0607
0x1B992DE3 | Level_Shire | shire_ent_intro
0x1BB1FF40 | ChatterHeroEowyn | ChatterHeroEowyn-0082
0x1BB1FF42 | ChatterHeroEowyn | ChatterHeroEowyn-0086
0x1BB1FF43 | ChatterHeroEowyn | ChatterHeroEowyn-0084
0x1BBE342A | Music | stop_osg_evil
0x1BC6A6AD | Level_Moria | Level_Moria-0307
0x1BCE0064 | ChatterHeroTheoden | ChatterHeroTheoden-0113
0x1BCE0065 | ChatterHeroTheoden | ChatterHeroTheoden-0111
0x1BCE0066 | ChatterHeroTheoden | ChatterHeroTheoden-0109
0x1BCF033D | VO_Weathertop | play_vo_wtp_obj03a_new_killcap_v1
0x1BDD41D5 | Level_Moria | moria_good_outro
0x1C147F40 | VO_Trng | play_vo_trn_archerarrow_poison_01
0x1C683095 | VO_Moria | play_vo_mor_evil_obj12_remind_gimli_v1
0x1C683096 | VO_Moria | play_vo_mor_evil_obj12_remind_gimli_v2
0x1C683097 | VO_Moria | play_vo_mor_evil_obj12_remind_gimli_v3
0x1C783761 | SFXBalrog | balrog_swing
0x1CFA54AD | BaseCombat | sword_draw
0x1D0EB145 | VoiceOver | VoiceOver-0279
0x1D49D16C | VO_BlackGates | play_vo_bkg_good_obj02_complete_v1
0x1D4CD0EC | ChatterHeroAragorn | ChatterHeroAragorn-0095
0x1D4CD0ED | ChatterHeroAragorn | ChatterHeroAragorn-0097
0x1D4CD0EF | ChatterHeroAragorn | ChatterHeroAragorn-0093
0x1D8C87CB | SFXOliphant | oli_destroy_house
0x1DA64780 | ChatterHeroGandalf | ChatterHeroGandalf-0105
0x1DA64782 | ChatterHeroGandalf | ChatterHeroGandalf-0109
0x1DA64783 | ChatterHeroGandalf | ChatterHeroGandalf-0107
0x1DA64785 | ChatterHeroGandalf | ChatterHeroGandalf-0111
0x1DCF9250 | SFXTroll | troll_pickup_blocked
0x1E03A94C | VO_Weathertop | VO_Weathertop-0094
0x1E03A94D | VO_Weathertop | VO_Weathertop-0092
0x1E03A94E | VO_Weathertop | VO_Weathertop-0090
0x1E0E62F4 | ChatterHeroGothmog | ChatterHeroGothmog-0124
0x1E0E62F5 | ChatterHeroGothmog | ChatterHeroGothmog-0126
0x1E0E62F7 | ChatterHeroGothmog | ChatterHeroGothmog-0122
0x1E1515A1 | VoiceOver | play_vo_chat_lowlives_uruk1_v1
0x1E1515A2 | VoiceOver | play_vo_chat_lowlives_uruk1_v2
0x1E1515A3 | VoiceOver | play_vo_chat_lowlives_uruk1_v3
0x1E1515A4 | VoiceOver | play_vo_chat_lowlives_uruk1_v4
0x1E230D60 | ChatterGondor | ChatterGondor-0591
0x1E230D62 | ChatterGondor | ChatterGondor-0595
0x1E230D63 | ChatterGondor | ChatterGondor-0593
0x1E2B06D6 | Level_BlackGates | Level_BlackGates-0123
0x1E4C3F48 | ChatterHeroTheoden | ChatterHeroTheoden-0105
0x1E4C3F49 | ChatterHeroTheoden | ChatterHeroTheoden-0107
0x1E4C3F4B | ChatterHeroTheoden | ChatterHeroTheoden-0103
0x1E5385F7 | Level_Rivendell | rivendell_intro
0x1E7C214C | ChatterUruk | ChatterUruk-0526
0x1E7C214E | ChatterUruk | ChatterUruk-0530
0x1E7C214F | ChatterUruk | ChatterUruk-0528
0x1EA0367C | ChatterHeroBalrog | ChatterHeroBalrog-0084
0x1EA0367D | ChatterHeroBalrog | ChatterHeroBalrog-0082
0x1EA0367E | ChatterHeroBalrog | ChatterHeroBalrog-0080
0x1EA11F18 | Level_Moria | door_close_moria_prision
0x1EDE4EE3 | Level_Pelennor | Level_Pelennor-0108
0x1EE5C631 | VO_Osgiliath | play_vo_osg_good_obj01_remind_wave1_v1
0x1EE5C632 | VO_Osgiliath | play_vo_osg_good_obj01_remind_wave1_v2
0x1EE9CC05 | VO_BlackGates | VO_BlackGates-0132
0x1EEA1192 | VoiceOver | VoiceOver-0165
0x1EEA1194 | VoiceOver | play_vo_chat_lowlives_gondor1_v2
0x1EEA1195 | VoiceOver | play_vo_chat_lowlives_gondor1_v3
0x1EEA1197 | VoiceOver | play_vo_chat_lowlives_gondor1_v1
0x1EF65DBB | BaseCombat | stop_ranged_attack_charge
0x1EFEB748 | VO_Osgiliath | play_vo_osg_good_obj09_new_escort_v1
0x1F4663B4 | VO_BlackGates | play_vo_bkg_good_obj06_remind_v3
0x1F4663B5 | VO_BlackGates | play_vo_bkg_good_obj06_remind_v2
0x1F4663B6 | VO_BlackGates | play_vo_bkg_good_obj06_remind_v1
0x1F61DEE4 | ChatterUruk | ChatterUruk-0562
0x1F61DEE6 | ChatterUruk | ChatterUruk-0566
0x1F61DEE7 | ChatterUruk | ChatterUruk-0564
0x1F7CE2F6 | Music | pause_game
0x1FA0166D | VO_Weathertop | VO_Weathertop-0100
0x1FF1CD2F | VO_MinasTir | play_vo_mstt_obj01_remind_courtyard_v3
0x1FFB4234 | ChatterHeroGothmog | ChatterHeroGothmog-0152
0x1FFB4235 | ChatterHeroGothmog | ChatterHeroGothmog-0150
0x1FFB4236 | ChatterHeroGothmog | ChatterHeroGothmog-0148
0x200DEEC7 | VO_Moria | play_vo_mor_obj07_new_rallygimli_v1
0x2016D504 | VO_Weathertop | VO_Weathertop-0086
0x202686D3 | HeroSauron | sauron_mace_attack
0x2033BBA3 | VO_Moria | vo_mor_obj11_remind_gandalf_v1
0x203F4CFC | VO_HelmsDeep | play_vo_hmd_obj10_new_battlefield_v1
0x203F4CFF | VO_HelmsDeep | play_vo_hmd_obj10_new_battlefield_v2
0x20630C5A | VO_BlackGates | VO_BlackGates-0144
0x2098BD08 | BaseCombat | crowdbreaker
0x20EA248C | Effects | set_state_character_select
0x21088FFC | VO_Rivendell | play_vo_rvd_obj07_complete_ring_v1
0x211A7DF5 | ChatterHeroTheoden | ChatterHeroTheoden-0075
0x212D0AFA | VO_MountDoom | play_vo_dom_obj07_complete_frodo_v1
0x214CA366 | HeroLegolas | HeroLegolas-0055
0x2168C294 | VO_MinasMorg | play_vo_mgl_obj01_remind_shore_v2
0x2168C295 | VO_MinasMorg | play_vo_mgl_obj01_remind_shore_v3
0x2168C297 | VO_MinasMorg | play_vo_mgl_obj01_remind_shore_v1
0x21A323D5 | ChatterRohan | ChatterRohan-0475
0x21A323D6 | ChatterRohan | ChatterRohan-0477
0x21A323D7 | ChatterRohan | ChatterRohan-0479
0x21A59EE5 | VO_BlackGates | VO_BlackGates-0079
0x21B6B39B | VO_Weathertop | play_vo_wtp_obj03_complete_outpost_v1
0x21E0A100 | Level_MinasMorg | morgul_intro
0x229A8FC4 | HeroSauron | HeroSauron-0087
0x22C803D8 | ChatterHobbit | ChatterHobbit-0590
0x22C803DA | ChatterHobbit | ChatterHobbit-0594
0x22C803DB | ChatterHobbit | ChatterHobbit-0592
0x22C803DD | ChatterHobbit | ChatterHobbit-0596
0x22E6BD31 | ChatterOrc | ChatterOrc-0512
0x22E6BD32 | ChatterOrc | ChatterOrc-0514
0x22E6BD33 | ChatterOrc | ChatterOrc-0516
0x22EA8711 | ChatterHeroLurtz | ChatterHeroLurtz-0120
0x22EA8712 | ChatterHeroLurtz | ChatterHeroLurtz-0122
0x22EA8713 | ChatterHeroLurtz | ChatterHeroLurtz-0124
0x22FFAD1A | Effects | cp_transition
0x23119CC7 | VO_Moria | VO_Moria-0332
0x2346DB1F | SFXCatapult | crank_return
0x2351AD0D | VoiceOver | VoiceOver-0416
0x2351AD0E | VoiceOver | VoiceOver-0418
0x2351AD0F | VoiceOver | VoiceOver-0420
0x235A1DD0 | ChatterHeroWormtongue | ChatterHeroWormtongue-0132
0x235A1DD1 | ChatterHeroWormtongue | ChatterHeroWormtongue-0134
0x235A1DD3 | ChatterHeroWormtongue | ChatterHeroWormtongue-0130
0x23673581 | SFXBalrog | balrog_attack
0x236B03B0 | ChatterHeroAragorn | ChatterHeroAragorn-0089
0x2390B43D | ChatterGondor | ChatterGondor-0471
0x2390B43E | ChatterGondor | ChatterGondor-0473
0x2390B43F | ChatterGondor | ChatterGondor-0475
0x23ACA621 | ChatterElf | ChatterElf-0507
0x23ACA622 | ChatterElf | ChatterElf-0509
0x23ACA623 | ChatterElf | ChatterElf-0511
0x23EB7706 | VO_Moria | play_vo_mor_obj11_acqsecond_complete
0x24007B87 | VoiceOver | play_vo_cq_evilcappedall_v1
0x24239CB2 | SFXCatapult | crank_tighten
0x24240004 | Level_Moria | walla_int
0x2430989B | VO_Trng | VO_Trng-0408
0x24538D46 | VO_Moria | play_vo_mor_obj11_remind_gandalf_v3
0x24538D47 | VO_Moria | play_vo_mor_obj11_remind_gandalf_v2
0x2457B858 | ChatterHeroSaruman | ChatterHeroSaruman-0115
0x2457B85A | ChatterHeroSaruman | ChatterHeroSaruman-0119
0x2457B85B | ChatterHeroSaruman | ChatterHeroSaruman-0117
0x24963D95 | SFXEnt | ent_taunt
0x24C0F49A | Level_MinasMorg | crystal_destroy
0x24D591EC | ChatterUruk | ChatterUruk-0448
0x24D591EE | ChatterUruk | ChatterUruk-0452
0x24D591EF | ChatterUruk | ChatterUruk-0450
0x24D7D823 | Level_Osgiliath | door_stone_destroy_dist
0x251FFA0C | VO_BlackGates | play_vo_bkg_good_obj03_remind_v2
0x251FFA0D | VO_BlackGates | play_vo_bkg_good_obj03_remind_v3
0x251FFA0F | VO_BlackGates | play_vo_bkg_good_obj03_remind_v1
0x254790A0 | UI | evil_victory
0x25732028 | VO_MinasTir | vo_mstt_obj01_remind_courtyard_v1
0x2573202B | VO_MinasTir | vo_mstt_obj01_remind_courtyard_v2
0x25A05FAC | ChatterHeroFaramir | ChatterHeroFaramir-0118
0x25A05FAD | ChatterHeroFaramir | ChatterHeroFaramir-0120
0x25A05FAF | ChatterHeroFaramir | ChatterHeroFaramir-0116
0x25BF8CF4 | VO_Osgiliath | VO_Osgiliath-0125
0x25BF8CF5 | VO_Osgiliath | VO_Osgiliath-0127
0x25BF8CF7 | VO_Osgiliath | VO_Osgiliath-0123
0x25C8F0CF | SFXFellBeast | fellbeast_wing_flap
0x25CA538D | VO_HelmsDeep | play_vo_hmd_obj03_complete_maingate_v1
0x268F8C84 | ChatterRohan | ChatterRohan-0433
0x268F8C86 | ChatterRohan | ChatterRohan-0437
0x268F8C87 | ChatterRohan | ChatterRohan-0435
0x26CE43A8 | ChatterEvilHuman | ChatterEvilHuman-0442
